"","ID","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"207317_s_at","207317_s_at","CASQ2",-0.194404286247011,6.90685662878842,-2.05976384232028,0.048121096387986,0.322608869724581,-4.04633364921651
"212880_at","212880_at","WDR7",-0.194775901190234,7.00293876912566,-2.05973320697961,0.0481242150053632,0.322608869724581,-4.04638653948568
"205921_s_at","205921_s_at","SLC6A6",-0.0866022903835706,5.293791852808,-2.05945036397212,0.048153016289293,0.322704860744155,-4.04687482540671
"222108_at","222108_at","AMIGO2",-0.117555701473546,5.56858436549121,-2.05917301672474,0.0481812727150785,0.322797143689144,-4.04735357582992
"201547_at","201547_at","KDM5B",-0.143728705554938,5.81116140615764,-2.0587835705477,0.0482209745829626,0.32296602844369,-4.04802574877907
"208897_s_at","208897_s_at","DDX18",0.178553173893421,9.29003406257981,2.05842650071804,0.0482574012161219,0.323035952818157,-4.04864195888535
"215905_s_at","215905_s_at","SNRNP40",0.172051660273962,7.38733457541794,2.05826156348515,0.0482742355522124,0.323035952818157,-4.04892657130659
"215252_at","215252_at",NA,-0.109477359559435,6.03630892612002,-2.05825499901399,0.048274905662813,0.323035952818157,-4.04893789848074
"217380_s_at","217380_s_at","ADD3-AS1",-0.126924911961396,5.57906532293186,-2.05803977277924,0.0482968808089819,0.323085978705056,-4.04930926249967
"218987_at","218987_at","ATF7IP",0.135189569281188,7.63909211687589,2.05773277750718,0.0483282410739775,0.323156790056796,-4.04983892076716
"203244_at","203244_at","PEX5",0.174757518372129,7.33867391655002,2.05756483023198,0.0483454048683369,0.323156790056796,-4.05012865522465
"216078_at","216078_at",NA,-0.218764007734961,7.05177726349664,-2.05737028407282,0.0483652937226478,0.323156790056796,-4.05046425502352
"207025_at","207025_at","GJC2",-0.169966530448182,8.40785324291415,-2.05736850443724,0.0483654756917568,0.323156790056796,-4.05046732485731
"40225_at","40225_at","GAK",0.216509458559871,9.96697600889391,2.05708219514203,0.0483947589007836,0.32325551936036,-4.05096117689202
"221207_s_at","221207_s_at","NBEA",-0.123937108076742,5.48699790294684,-2.05687019960084,0.048416451503459,0.32330350280239,-4.05132681327891
"209499_x_at","209499_x_at",NA,0.295346623988321,8.12316169037525,2.05625634420748,0.0484793130841268,0.323383522749544,-4.05238539544345
"216685_s_at","216685_s_at","MTAP",-0.172947345900766,5.93779746472191,-2.05607092928669,0.0484983145605263,0.323383522749544,-4.05270509426752
"217588_at","217588_at",NA,-0.155161385343135,6.81316746742563,-2.05602943473855,0.0485025678557238,0.323383522749544,-4.05277663769695
"205174_s_at","205174_s_at","QPCT",-0.103449983119136,5.62448926905472,-2.05598168710057,0.048507462515279,0.323383522749544,-4.05285896116675
"221833_at","221833_at",NA,-0.135085771061277,6.30188757037674,-2.05592263466748,0.0485135166434282,0.323383522749544,-4.05296077370507
"207114_at","207114_at","LY6G6C",-0.213267961669993,7.65243500514187,-2.05590318957466,0.0485155103240912,0.323383522749544,-4.05299429859686
"207409_at","207409_at","LECT2",-0.157657720451349,5.6850656129388,-2.05544344348493,0.048562668556401,0.323601059641831,-4.0537868695217
"207972_at","207972_at","GLRA1",-0.160630792135104,5.90386259238855,-2.05498707143129,0.0486095206649646,0.323816427198029,-4.05457349472934
"205723_at","205723_at","CNTFR",-0.200052954947501,7.57607404658872,-2.05451634189391,0.0486578884896124,0.324041760075921,-4.05538473240416
"205848_at","205848_at","GAS2",-0.0875169665203916,5.05398630369177,-2.05428970315606,0.0486811909231231,0.324054784286811,-4.0557752643014
"214588_s_at","214588_s_at","MFAP3",-0.0996792842495449,6.41599621694864,-2.05421445839272,0.0486889295782545,0.324054784286811,-4.05590491508363
"202245_at","202245_at","LSS",0.21990059504682,8.90252588096212,2.05383708176014,0.0487277577774751,0.324216371022836,-4.05655510258122
"202941_at","202941_at","NDUFV2",0.333514699356478,10.1017006449345,2.05351452339229,0.0487609673706892,0.324340488334647,-4.05711077315355
"202315_s_at","202315_s_at","BCR",0.196599149448327,7.45542901573562,2.05331938678762,0.048781067704826,0.324367218675818,-4.05744690332037
"204476_s_at","204476_s_at","PC",0.147531821233046,7.13467523418718,2.05307309558882,0.0488064477196118,0.324367218675818,-4.05787111560162
"213318_s_at","213318_s_at","BAG6",0.295431874356574,9.30712696177993,2.05305167034739,0.0488086561154252,0.324367218675818,-4.05790801669229
"218481_at","218481_at","EXOSC5",-0.153007771367578,7.89915816274802,-2.05279718621677,0.0488348936739797,0.324444822819704,-4.058346297724
"212211_at","212211_at","ANKRD17",0.251415909709337,7.27362841776853,2.05257290205858,0.0488580278916236,0.324472010159928,-4.05873253416118
"208406_s_at","208406_s_at","GRAP2",-0.143962336656015,7.04425466056477,-2.05247519883573,0.0488681086970658,0.324472010159928,-4.05890077771184
"206075_s_at","206075_s_at","CSNK2A1",0.150370819422442,8.0097245669842,2.05211863068294,0.0489049141762201,0.32461966118222,-4.05951473287826
"219576_at","219576_at","MAP7D3",-0.103234422266883,6.18461137099289,-2.05180644964547,0.0489371580092213,0.324686155104853,-4.06005219573987
"218238_at","218238_at","GTPBP4",0.219917477976173,7.48778709360814,2.05173951602145,0.0489440737332137,0.324686155104853,-4.06016742338891
"AFFX-CreX-3_at","AFFX-CreX-3_at",NA,-0.290934064295911,13.6287863216616,-2.0506674317752,0.0490549611882742,0.325114214914477,-4.0620126613325
"202225_at","202225_at","CRK",0.328371834422876,8.3518120863714,2.05064983657357,0.0490567829341813,0.325114214914477,-4.06204293971216
"206874_s_at","206874_s_at","SLK",-0.252358276838563,7.23377073505304,-2.05056962880821,0.0490650881222056,0.325114214914477,-4.06218096134497
"219304_s_at","219304_s_at","PDGFD",-0.220669868839851,6.98776597089463,-2.05052011734142,0.0490702154517347,0.325114214914477,-4.06226615875748
"220782_x_at","220782_x_at","KLK12",0.16609198941545,7.14183805055811,2.05041066528798,0.0490815518095544,0.325114214914477,-4.06245449422317
"208152_s_at","208152_s_at","DDX21",0.30456957830852,9.89412227074209,2.05016822069522,0.0491066709188133,0.325183937023452,-4.0628716451476
"220836_at","220836_at","ZNF407",-0.0646180191855441,4.86829858266274,-2.05002678481545,0.0491213299858207,0.32518437197684,-4.0631149833598
"216952_s_at","216952_s_at","LMNB2",0.135553109711299,8.20646975108372,2.04985492053091,0.0491391479821415,0.325205712648072,-4.06341065649791
"221875_x_at","221875_x_at","HLA-F",0.240604431780909,12.0075719751399,2.04944489824788,0.0491816799636707,0.325243810013234,-4.06411597978069
"212533_at","212533_at","WEE1",0.3452602193865,8.39419460208804,2.04937826205602,0.0491885952590774,0.325243810013234,-4.0642305980039
"219325_s_at","219325_s_at","ELAC1",-0.10990766399769,5.4676771951845,-2.04916354351996,0.0492108839045515,0.325243810013234,-4.06459990798317
"214359_s_at","214359_s_at","HSP90AB1",0.33186585570914,10.4053257480134,2.0490740247607,0.0492201789387258,0.325243810013234,-4.06475386935497
"217348_x_at","217348_x_at","ARHGEF15",-0.217905816358062,7.86010630990757,-2.04895662883624,0.0492323708970753,0.325243810013234,-4.06495576853627
"216088_s_at","216088_s_at","PSMA7",0.243103581991359,6.38552435572071,2.04895557004978,0.0492324808676856,0.325243810013234,-4.06495758941344
"212068_s_at","212068_s_at","PRRC2B",-0.144229582007569,8.46842397944448,-2.04854770546016,0.049274859730786,0.325370012461842,-4.06565897412343
"209892_at","209892_at","FUT4",0.308750796777012,8.7796417071553,2.04848965454737,0.0492808940789465,0.325370012461842,-4.06575879305112
"219791_s_at","219791_s_at","HAND2-AS1",-0.0996844330228503,5.95105037980339,-2.04835023395027,0.0492953894031854,0.325370012461842,-4.06599851916019
"213150_at","213150_at","HOXA10",-0.164455425647605,7.12511030428616,-2.0478948620647,0.0493427598209045,0.32553840268253,-4.06678142236612
"207413_s_at","207413_s_at","SCN5A",-0.136062905193556,7.3211050408592,-2.04782414309285,0.0493501200135344,0.32553840268253,-4.066902995223
"201628_s_at","201628_s_at","RRAGA",0.350361782761304,9.0230184349041,2.04760949710435,0.0493724655684233,0.325559831766245,-4.06727197377602
"214009_at","214009_at","MSL3",-0.097986353405477,5.80914506825422,-2.0473738085912,0.0493970120045773,0.325559831766245,-4.06767709174622
"214058_at","214058_at","MYCL",-0.130589508993385,7.23023845766707,-2.04736503371867,0.0493979260956191,0.325559831766245,-4.06769217394871
"201616_s_at","201616_s_at","CALD1",-0.307939877467727,6.63465231468717,-2.04723177673761,0.0494118094975291,0.325559831766245,-4.06792120944687
"209991_x_at","209991_x_at","GABBR2",-0.232152310866464,7.10345934152595,-2.04658494111731,0.049479249022223,0.325840450788524,-4.06903280207909
"202015_x_at","202015_x_at","METAP2",-0.121240654745344,4.9856739869329,-2.04654279445463,0.0494836460740638,0.325840450788524,-4.06910522248394
"212097_at","212097_at","CAV1",-0.478469774296984,7.39265515880904,-2.04567550769601,0.0495742042854677,0.326179050404355,-4.07059523254675
"215979_s_at","215979_s_at","SLC7A1",-0.187827989274369,6.97838495798136,-2.04553547433383,0.0495888396210498,0.326179050404355,-4.07083576796471
"203547_at","203547_at","CD4",-0.16105822424892,8.46944882006595,-2.04553284391878,0.0495891145705633,0.326179050404355,-4.07084028611437
"217727_x_at","217727_x_at","VPS35",0.200526591753576,9.75756933772962,2.04528281432718,0.0496152555545,0.326179050404355,-4.07126973148773
"205373_at","205373_at","CTNNA2",-0.0750608893413416,5.61944397515364,-2.04502241591396,0.0496424935146,0.326179050404355,-4.07171694489606
"205458_at","205458_at","MC1R",-0.193984877310187,7.6216227279089,-2.0449423447063,0.0496508716974874,0.326179050404355,-4.07185445232224
"216231_s_at","216231_s_at","B2M",0.14756229869505,13.7258939368163,2.04489288805618,0.0496560471741383,0.326179050404355,-4.07193938294513
"202324_s_at","202324_s_at","ACBD3",0.308901657323854,7.22076193074722,2.04480894425644,0.0496648327056306,0.326179050404355,-4.07208353398184
"202482_x_at","202482_x_at","RANBP1",-0.199449815486362,8.14387383643104,-2.04465850340972,0.0496805812216708,0.326179050404355,-4.07234186498173
"210228_at","210228_at","CSF2",-0.126601259649001,7.78445029433629,-2.04461087225611,0.0496855682838375,0.326179050404355,-4.07242365236498
"202777_at","202777_at","SHOC2",0.340990458509395,8.04383310772264,2.0445104354538,0.0496960856313236,0.326179050404355,-4.07259610763519
"200030_s_at","200030_s_at","SLC25A3",0.234148531254874,12.3122238513537,2.04413260081866,0.0497356685509784,0.326310620602834,-4.073244813497
"209058_at","209058_at","EDF1",0.288543139742607,9.8970894087136,2.04397035197466,0.0497526746716142,0.326310620602834,-4.0735233520216
